GEOID,INTPTLAT,INTPTLON,rpe_1d_1y
0900962290,41.4992466,-72.9756339,2469.4239319788244
0900914160,41.5118273,-72.9036174,2477.985188018602
0900919550,41.3261239,-73.0825739,2493.452604081685
0900922910,41.2934528,-72.8589937,2468.1584880430737
0900322070,41.929719,-72.7453782,2326.7851560367703
0900322630,41.7606953,-72.6076462,2306.92551303158
0900325990,41.983993,-72.5555531,2307
0900327600,41.7304396,-72.842901,2427.9814719263477
0900331240,41.6918834,-72.5521735,2316.021778431176
0900337070,41.7659331,-72.6815789,2332.456432026263
0900337140,42.0012054,-72.9540266,2397
0900344700,41.7752402,-72.524434,2304.5679199774254
0900350440,41.6765545,-72.7861613,2422.4506199488133
0900352140,41.6869933,-72.7308386,2384.307179909671
0900360120,41.6739923,-72.8544338,2454.9589399446477
0900368940,41.8763123,-72.8292909,2369.074540108143
0900370550,41.606877,-72.8787842,2477.628863981475
0900371390,41.8380902,-72.5778358,2309.07082404
0900382590,41.7665678,-72.7549436,2363.9085199674428
0900384900,41.7024837,-72.6693014,2346.0353699649295
0900387000,41.8710365,-72.6750825,2313.4855199821072
0900387070,41.9277901,-72.6516158,2303.8590839821795
0901152350,41.3329572,-72.0961765,2479.413684016096
0900901220,41.3442494,-73.0698254,2492.6889760608824
0900904580,41.422964,-72.9941871,2480.539148995141
0900907310,41.2799516,-72.7859518,2453.645931415438
0900934950,41.3390318,-72.7060901,2451.1838160399993
0900100000,41.0779471,-73.2165184,NA
0900156060,41.0927388,-73.4197955,2536.626380059392
0900104720,41.3697777,-73.3895032,2519.435974776818
0900108070,41.1873933,-73.1957567,2470.956000120985
0900108980,41.4698845,-73.3936666,2481.005060298461
0900118500,41.3987408,-73.4781032,2491.208543840767
0900118850,41.0521498,-73.4797138,2548.015890329864
0900123890,41.2649447,-73.3004792,2523.9806804684945
0900126620,41.1759399,-73.272046,2491.516616120511
0900133620,41.0453658,-73.6340183,2532.947815881736
0900148620,41.3392358,-73.2228275,2526.0808492270303
0900150580,41.160393,-73.5001238,2542.2231279209054
0900150860,41.4803182,-73.4868629,2451.6001678008233
0900152980,41.3994806,-73.2939682,2525.900839940186
0900163970,41.3202526,-73.4987451,2512.7899639004468
0900168170,41.3045774,-73.1392153,2504.5203933753564
0900168310,41.5812374,-73.5015702,2405.1465586851527
0900173070,41.0796114,-73.5460803,2540.916995940597
0900174190,41.2056875,-73.1279855,2462.54750012
0900177200,41.2728914,-73.2118988,2509.8435842008817
0900183430,41.2274128,-73.3670614,2529.0947360399196
0900183500,41.1208312,-73.3434638,2506.146639319412
0900186370,41.2112765,-73.4409755,2538.1468199600004
0900163480,41.3054148,-73.3925837,2525.2401799401177
0900312270,41.8587259,-72.9108619,2408.6068560427498
0900967610,41.3854647,-73.0836379,2498.0730960416786
0900949950,41.4884782,-73.0519199,2473.495619940938
0900714300,41.4117284,-72.4871458,2468.185183919999
0900324800,41.9040094,-72.5644729,2308.782123937549
0901540500,41.829902,-71.8490975,2411.005556244818
0901100000,41.2546899,-72.2261939,2444.4599095548915
0901142390,41.632955,-72.2400896,2422.469295873084
0901143230,41.6027656,-72.0122612,2418.250287992488
0900365370,41.6566243,-72.6617787,2367.1791958885915
0900374540,41.9999149,-72.6787509,2310.4398960620956
0900718080,41.6166088,-72.6615596,2390.5207435515144
0900720810,41.4689218,-72.6845254,2454.1018159420782
0901142600,41.4311315,-72.0203029,2461.558256167004
0900935650,41.3973285,-72.9222256,2484
0900946520,41.5367771,-72.7945433,2468.6357649545225
0901301080,41.7329821,-72.3746584,2341.7072718508803
0901316400,41.6937069,-72.3056713,2380.7881198269865
0901317800,41.7802124,-72.343758,2349.6216318905954
0901344910,41.7892725,-72.2284642,2375.4461958565053
0900565930,41.5555302,-73.2960236,2463.136215759639
0900566420,41.986226,-73.4252735,2254.7729399002196
0900952070,41.3108088,-72.924953,2482.4943600213323
0900953890,41.3638391,-72.7848682,2463.95481898796
0900954870,41.3814653,-72.8563709,2481.8161801015453
0900957600,41.2849513,-73.0246368,2488
0900978740,41.4586575,-72.8045163,2480.0839120434102
0900980070,41.5585001,-73.0366845,2461.097859979014
0900982870,41.2721212,-72.9674973,2488
0900987700,41.3635379,-73.003892,2487.9670400210866
0900332640,41.97148,-72.8301588,2377.3571680648797
0900345820,41.636439,-72.4540018,2346.401743857205
0900302060,41.7871585,-72.8520463,2405.1461439262303
0900304300,41.605451,-72.7784967,2446.4381813539794
0900305910,41.8449305,-72.7409509,2333.4590039857094
0900308490,41.6815776,-72.9407487,2464.8550064277965
0900310100,41.7490794,-72.9486573,2438.83141588
0901536000,41.7830301,-72.0645718,2390.6697426019373
0900781680,41.3036945,-72.4780169,2466.9433400400003
0900700000,41.2247864,-72.4370409,NA
0900719130,41.3678191,-72.4774422,2473.0000000000005
0900722280,41.4766614,-72.3921201,2437.503159800002
0900722490,41.5677366,-72.5095441,2367.0809354695057
0901106820,41.5450583,-72.175228,2458.7026052857946
0901115910,41.5572706,-72.344247,2409.152095539515
0901123400,41.3560679,-72.2298414,2465.147180016512
0901129910,41.6212115,-72.1426091,2434.9092399199994
0901133900,41.5847725,-71.9210907,2387.7344680888905
0901134250,41.3477177,-72.0313446,2474.522704048207
0901144210,41.3986146,-72.3315456,2460.427772790096
0901148900,41.4638999,-72.1555701,2477.971708794222
0901155500,41.4709693,-71.8725254,2385.5895150941005
0901156270,41.5478603,-72.089488,2459.5088519039223
0900726270,41.3498623,-72.4133829,2469.5894240629186
0900735230,41.4808086,-72.5486358,2436.0878426911404
0900740710,41.3744187,-72.5783279,2470.1006519775924
0901162150,41.5186523,-72.0065973,2438.6901520167207
0900747080,41.514163,-72.7178435,2451.883319963947
0900757320,41.2935043,-72.3835936,2459.2517480630113
0900761800,41.5988341,-72.589071,2363.1251919071274
0900747360,41.5486107,-72.6567838,2421.1517021088016
0901306260,41.7645891,-72.4375753,2320.7335011733103
0901325360,41.9141491,-72.4455676,2321.802107959999
0901337910,41.6585843,-72.3934198,2354.142434149824
0901369220,41.9926327,-72.4537254,2307.76815192
0901372090,41.9838788,-72.3075745,2304.125929462896
0901376290,41.8830194,-72.3588694,2328.511015896911
0901377830,41.9998845,-72.1622435,2320.0743164936916
0901378250,41.8375605,-72.4590404,2323.4151519772213
0901385950,41.8972671,-72.2518477,2335.164569923706
0900946940,41.5246912,-73.1230162,2474.873111900716
0900947535,41.2250861,-73.0611101,2472.69778409909
0900958300,41.4437516,-73.1479427,2496.7527399406395
0901157040,41.3123196,-72.3057421,2455.9783520400006
0901173770,41.3635101,-71.9113676,2427.092811977911
0901567400,41.6921799,-72.0996602,2413.336047943892
0900900000,41.1874659,-72.8153339,NA
0900944560,41.3444788,-72.6245426,2464.392344017735
0900969640,41.4759797,-73.2296916,2496.186209486596
0900504930,41.6357587,-73.2114217,2422.3035717591156
0900508210,41.520294,-73.3610927,2465.7655077800623
0900510940,41.9629594,-73.3071433,2286.1556603632184
0900516050,42.0053723,-73.0637316,2368.2641558763958
0901501430,41.8971227,-72.1714268,2347.61933589633
